t/0/_id,t/0/__text,h/_id,h/__text,_task,_id,_topic,_complex-attack,_argument,_entailment,t/1/_id,t/1/__text,_aargument
22,"Al-Qaeda will see withholding photos as sign of their impact. Why they released the death picture of Saddam but don't dare to release that of Osama's? The only reason is that Iraq is down but Al-Qaeda is still there, so their path of terrorism is effective. It is an encouragement to them.",20,"Bin Laden photos will only worsen America's image abroad. The administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided.",ARG,99,Osamaphoto,mediated,unrelated,,,,
22,"Al-Qaeda will see withholding photos as sign of their impact. Why they released the death picture of Saddam but don't dare to release that of Osama's? The only reason is that Iraq is down but Al-Qaeda is still there, so their path of terrorism is effective. It is an encouragement to them.",19,Withholding photos shows US as being respectful. There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history.,ARG,100,Osamaphoto,mediated,attack,contradiction,,,
22,"Al-Qaeda will see withholding photos as sign of their impact. Why they released the death picture of Saddam but don't dare to release that of Osama's? The only reason is that Iraq is down but Al-Qaeda is still there, so their path of terrorism is effective. It is an encouragement to them.",18,"Gloating with photos will cheapen achievement of killing Osama. White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement.",ARG,101,Osamaphoto,mediated,attack,contradiction,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",2,"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory"".",ARG,102,Osamaphoto,mediated,attack,contradiction,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",16,"Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures ""would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do.""",ARG,103,Osamaphoto,mediated,attack,contradiction,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",7,Releasing Bin Laden photos is a national security risk.,ARG,104,Osamaphoto,mediated,unrelated,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",8,"Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas.",ARG,105,Osamaphoto,mediated,attack,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",12,"Osama photos could become icons for rallying extremists. Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program 60 Minutes, saying U.S. officials did not want to give extremist groups the ability to use the photos as ''propaganda tools.'' He tells 60 Minutes: ''I think Americans and people around the world are glad that he is gone. But we don't need to spike the football.''",ARG,106,Osamaphoto,mediated,attack,contradiction,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",14,No Middle East allies thought photos would be in their interests. Secretary of State Hillary Rodham Clinton consulted with allies in the Middle East and reported that none thought the release of the photos would be in their interests.,ARG,107,Osamaphoto,mediated,unrelated,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",18,"Gloating with photos will cheapen achievement of killing Osama. White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement.",ARG,108,Osamaphoto,mediated,unrelated,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",13,Bin Laden photo could be seen as insensitive trophies. President Obama said about his decision not to release the photos: ''That's not who we are. We don't trot this stuff out as trophies.'',ARG,109,Osamaphoto,mediated,attack,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",19,Withholding photos shows US as being respectful. There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history.,ARG,110,Osamaphoto,mediated,attack,,,,
3,"Photos won't upset extremists more than Laden's death. Wojtek Wolfe, a Rutgers-Camden professor: ""I don’t know if it’s really going to make the situation any worse. It will upset some people - but those people are already upset"".",20,"Bin Laden photos will only worsen America's image abroad. The administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided.",ARG,111,Osamaphoto,mediated,attack,,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",2,"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory"".",ARG,112,Osamaphoto,mediated,attack,contradiction,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",16,"Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures ""would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do.""",ARG,113,Osamaphoto,mediated,attack,contradiction,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",7,Releasing Bin Laden photos is a national security risk.,ARG,114,Osamaphoto,mediated,unrelated,,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",8,"Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas.",ARG,115,Osamaphoto,mediated,unrelated,,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",12,"Osama photos could become icons for rallying extremists. Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program 60 Minutes, saying U.S. officials did not want to give extremist groups the ability to use the photos as ''propaganda tools.'' He tells 60 Minutes: ''I think Americans and people around the world are glad that he is gone. But we don't need to spike the football.''",ARG,116,Osamaphoto,mediated,attack,,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",14,No Middle East allies thought photos would be in their interests. Secretary of State Hillary Rodham Clinton consulted with allies in the Middle East and reported that none thought the release of the photos would be in their interests.,ARG,117,Osamaphoto,mediated,unrelated,,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",18,"Gloating with photos will cheapen achievement of killing Osama. White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement.",ARG,118,Osamaphoto,mediated,attack,contradiction,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",13,Bin Laden photo could be seen as insensitive trophies. President Obama said about his decision not to release the photos: ''That's not who we are. We don't trot this stuff out as trophies.'',ARG,119,Osamaphoto,mediated,attack,contradiction,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",19,Withholding photos shows US as being respectful. There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history.,ARG,120,Osamaphoto,mediated,attack,contradiction,,,
4,"US shouldn't kowtow to sensitivities of extremists. Obama and Rogers' idea that news should be calibrated by the government to ease the job of the U.S. military makes for a First Amendment loophole you could drive a motorized regiment through. If al-Qaida and its supporters are more irate with the United States this week than they were last week, it's because U.S. commandos killed Bin Laden. Obama should never have marked him for death if tending the 'sensitivities' of al-Qaida and its allies was U.S. policy.",20,"Bin Laden photos will only worsen America's image abroad. The administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided.",ARG,121,Osamaphoto,mediated,attack,,,,
10,Bin Laden death photos send warning to US enemies.,2,"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory"".",ARG,122,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,16,"Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures ""would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do.""",ARG,123,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,7,Releasing Bin Laden photos is a national security risk.,ARG,124,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,8,"Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas.",ARG,125,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,12,"Osama photos could become icons for rallying extremists. Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program 60 Minutes, saying U.S. officials did not want to give extremist groups the ability to use the photos as ''propaganda tools.'' He tells 60 Minutes: ''I think Americans and people around the world are glad that he is gone. But we don't need to spike the football.''",ARG,126,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,14,No Middle East allies thought photos would be in their interests. Secretary of State Hillary Rodham Clinton consulted with allies in the Middle East and reported that none thought the release of the photos would be in their interests.,ARG,127,Osamaphoto,mediated,attack,,,,
10,Bin Laden death photos send warning to US enemies.,18,"Gloating with photos will cheapen achievement of killing Osama. White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement.",ARG,128,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,13,Bin Laden photo could be seen as insensitive trophies. President Obama said about his decision not to release the photos: ''That's not who we are. We don't trot this stuff out as trophies.'',ARG,129,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,19,Withholding photos shows US as being respectful. There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history.,ARG,130,Osamaphoto,mediated,unrelated,,,,
10,Bin Laden death photos send warning to US enemies.,20,"Bin Laden photos will only worsen America's image abroad. The administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided.",ARG,131,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,2,"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory"".",ARG,132,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,16,"Upside of photos insufficient to counter inflammation. Ibrahim Hooper, director of the Council on American-Islamic Relations, said releasing macabre pictures ""would be unnecessarily inflaming passions in many areas of the world. Why take that risk? The upside is not going to be that great no matter what you do.""",ARG,133,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,7,Releasing Bin Laden photos is a national security risk.,ARG,134,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,8,"Osama photos likely to provoke violence at US embassies. Secretary of State Hilary Clinton and Secretary of Defense Robert Gates vocally worried that the images would provoke anti-American violence at embassies, consulates, and military bases overseas.",ARG,135,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,12,"Osama photos could become icons for rallying extremists. Obama defended his decision to withhold photos of Bin Laden's dead body in an interview with CBS News program 60 Minutes, saying U.S. officials did not want to give extremist groups the ability to use the photos as ''propaganda tools.'' He tells 60 Minutes: ''I think Americans and people around the world are glad that he is gone. But we don't need to spike the football.''",ARG,136,Osamaphoto,mediated,attack,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,14,No Middle East allies thought photos would be in their interests. Secretary of State Hillary Rodham Clinton consulted with allies in the Middle East and reported that none thought the release of the photos would be in their interests.,ARG,137,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,18,"Gloating with photos will cheapen achievement of killing Osama. White House Press Secretary Jay Carney likened such a move to 'spiking the football,' the sort of grandstanding that tends to cheapen rather than exalt real achievement.",ARG,138,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,13,Bin Laden photo could be seen as insensitive trophies. President Obama said about his decision not to release the photos: ''That's not who we are. We don't trot this stuff out as trophies.'',ARG,139,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,19,Withholding photos shows US as being respectful. There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history.,ARG,140,Osamaphoto,mediated,unrelated,,,,
5,Death photos destroy myth of Bin Laden's invulnerability.,20,"Bin Laden photos will only worsen America's image abroad. The administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided.",ARG,141,Osamaphoto,mediated,unrelated,,,,
10,Diverting up to four percentage points of the payroll tax to create private accounts as the president has proposed would shorten significantly the time until the Trust Funds become depleted.,2,"If Social Security were privatized, people would deposit their income with a bank. People actually save resources that businesses can invest. We, as true savers, get more resources in the future.",ARG,142,Privatizingsocialsecurity,mediated,unrelated,,,,
10,Diverting up to four percentage points of the payroll tax to create private accounts as the president has proposed would shorten significantly the time until the Trust Funds become depleted.,12,"Social Security represents a bad deal for postwar Americans. Moreover, the deal has gotten worse over time. Baby boomers are projected to lose roughly 5 cents of every dollar they earn to the OASI program in taxes net of benefits. Generation X=ers and today=s children will lose over 7 cents of every dollar they earn in net taxes. These losses assume no adjustment to Social Security=s taxes or benefits. But, as indicated above, major adjustments are inevitable unless the system is privatized. If OASI taxes are raised immediately by the amount needed to pay for OASI benefits on an ongoing basis, baby boomers will forfeit 6 cents of every dollar they earn in net OASI taxes. Those born after the baby boom will forfeit 10 cents of every dollar they earn.",ARG,143,Privatizingsocialsecurity,mediated,attack,,,,
10,Diverting up to four percentage points of the payroll tax to create private accounts as the president has proposed would shorten significantly the time until the Trust Funds become depleted.,7,"While Americans in retirement or approaching retirement would stay in the current system, younger workers should have the option to invest a portion of their money in financial assets other than U.S. Treasuries. These accounts would be the ultimate ""lock box"" - they would prevent politicians in Washington from raiding the Trust Fund. The truth is that taxpayers bailout politicians every year thanks to Social Security. Congress and the White House spend more money than they have so they steal money from Social Security to help pay for it. That needs to stop and there is no responsible way of doing that except with personal accounts.",ARG,144,Privatizingsocialsecurity,mediated,attack,,,,
10,Diverting up to four percentage points of the payroll tax to create private accounts as the president has proposed would shorten significantly the time until the Trust Funds become depleted.,6,Private accounts prevent politicians taking from social security.,ARG,145,Privatizingsocialsecurity,mediated,unrelated,,,,
9,"Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.",2,"If Social Security were privatized, people would deposit their income with a bank. People actually save resources that businesses can invest. We, as true savers, get more resources in the future.",ARG,146,Privatizingsocialsecurity,mediated,attack,contradiction,,,
9,"Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.",4,"Social Security drains capital from the poorest areas of the country, leaving less money available for new investment and job creation. Privatization would increase national savings and provide a new pool of capital for investment that would be particularly beneficial to the poor.",ARG,147,Privatizingsocialsecurity,mediated,attack,contradiction,,,
9,"Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.",12,"Social Security represents a bad deal for postwar Americans. Moreover, the deal has gotten worse over time. Baby boomers are projected to lose roughly 5 cents of every dollar they earn to the OASI program in taxes net of benefits. Generation X=ers and today=s children will lose over 7 cents of every dollar they earn in net taxes. These losses assume no adjustment to Social Security=s taxes or benefits. But, as indicated above, major adjustments are inevitable unless the system is privatized. If OASI taxes are raised immediately by the amount needed to pay for OASI benefits on an ongoing basis, baby boomers will forfeit 6 cents of every dollar they earn in net OASI taxes. Those born after the baby boom will forfeit 10 cents of every dollar they earn.",ARG,148,Privatizingsocialsecurity,mediated,attack,,,,
9,"Privatizing social security would wrongly enrich banks. Privatization would represent a windfall for Wall Street financial institutions, who would obtain significant fees for managing private accounts.",6,Private accounts prevent politicians taking from social security.,ARG,149,Privatizingsocialsecurity,mediated,unrelated,,,,
8,"Privatization during economic crisis would have been disaster. Privatization in the midst of the greatest economic downturn since the Great Depression would have caused households to have lost even more of their assets, had their investments been invested in the U.S. stock market.",2,"If Social Security were privatized, people would deposit their income with a bank. People actually save resources that businesses can invest. We, as true savers, get more resources in the future.",ARG,150,Privatizingsocialsecurity,mediated,attack,contradiction,,,
8,"Privatization during economic crisis would have been disaster. Privatization in the midst of the greatest economic downturn since the Great Depression would have caused households to have lost even more of their assets, had their investments been invested in the U.S. stock market.",4,"Social Security drains capital from the poorest areas of the country, leaving less money available for new investment and job creation. Privatization would increase national savings and provide a new pool of capital for investment that would be particularly beneficial to the poor.",ARG,151,Privatizingsocialsecurity,mediated,attack,contradiction,,,
8,"Privatization during economic crisis would have been disaster. Privatization in the midst of the greatest economic downturn since the Great Depression would have caused households to have lost even more of their assets, had their investments been invested in the U.S. stock market.",12,"Social Security represents a bad deal for postwar Americans. Moreover, the deal has gotten worse over time. Baby boomers are projected to lose roughly 5 cents of every dollar they earn to the OASI program in taxes net of benefits. Generation X=ers and today=s children will lose over 7 cents of every dollar they earn in net taxes. These losses assume no adjustment to Social Security=s taxes or benefits. But, as indicated above, major adjustments are inevitable unless the system is privatized. If OASI taxes are raised immediately by the amount needed to pay for OASI benefits on an ongoing basis, baby boomers will forfeit 6 cents of every dollar they earn in net OASI taxes. Those born after the baby boom will forfeit 10 cents of every dollar they earn.",ARG,152,Privatizingsocialsecurity,mediated,attack,,,,
8,"Privatization during economic crisis would have been disaster. Privatization in the midst of the greatest economic downturn since the Great Depression would have caused households to have lost even more of their assets, had their investments been invested in the U.S. stock market.",6,Private accounts prevent politicians taking from social security.,ARG,153,Privatizingsocialsecurity,mediated,unrelated,,,,
8,"Privatization during economic crisis would have been disaster. Privatization in the midst of the greatest economic downturn since the Great Depression would have caused households to have lost even more of their assets, had their investments been invested in the U.S. stock market.",7,"While Americans in retirement or approaching retirement would stay in the current system, younger workers should have the option to invest a portion of their money in financial assets other than U.S. Treasuries. These accounts would be the ultimate ""lock box"" - they would prevent politicians in Washington from raiding the Trust Fund. The truth is that taxpayers bailout politicians every year thanks to Social Security. Congress and the White House spend more money than they have so they steal money from Social Security to help pay for it. That needs to stop and there is no responsible way of doing that except with personal accounts.",ARG,154,Privatizingsocialsecurity,mediated,unrelated,,,,
14,"Internet access is hugely important, but not a right. Internet access [...] is fundamental to my childrens' interactions with the world. It defines their economic utility, their ability to learn, even many of their social relationships. [...] Enabling that, or disabling that, is not a question of 'rights,' but it is fundamental.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",ARG,155,Internetaccess,mediated,attack,contradiction,,,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",ARG,156,Internetaccess,mediated,attack,contradiction,,,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",11,"The internet is a right. It's in their enlightened self-interest. And I will suggest that the WEF Global Agenda Council should catalogue, quantify, and demonstrate that self-interest in terms of the benefit the internet brings a nation in: 1. business – jobs created, efficiencies found, innovation sparked, entrepreneurism supported; 2. education – every human able to search all our digital knowledge, distributed university curricula, the growth of the aggregated education, the pull toward literacy; 3. politics – the ability of citizens to coalesce and act, the increase in involvement in politics, the greater transparency enabled (which some politicians will not think is in their self-interest – but that is precisely why we will want this creed to separate democrats from dictators and the corrupt); 4. government – we have only begun to use connectivity to improve governance in its relationships with constituents and in efficiencies; 4. society – I argue in my book that staying connected may change the nature of relationships for the good – one-to-one and nation-to-nation.",ARG,157,Internetaccess,mediated,attack,contradiction,,,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",9,"In the U.S., if we are serious about equality of opportunity, access to the Internet could be strongly defended as a human right.",ARG,158,Internetaccess,mediated,attack,contradiction,,,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",13,Internet access in a time of democratized online publishing may be understood as a contemporary form of the right to self-expression.,ARG,159,Internetaccess,mediated,attack,contradiction,,,
4,"Internet not as important as real rights. We may think of such trivial things as a fundamental right, but consider the truly impoverished and what is most important to them. The right to vote, the right to liberty and freedom from slavery or the right to elementary education. Perhaps it's time for a reality check, and to re-examine which of our 'rights' are truly important.",5,"Internet access is essential to other human rights. United Nations' Universal Declaration of Human Rights includes the right to education and the right to work, which may hinge on Internet access. And, indeed, The European Parliament has ruled that it sees internet access as 'critical for the practical exercise of a wide array of fundamental rights.",ARG,160,Internetaccess,mediated,attack,,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",9,"In the U.S., if we are serious about equality of opportunity, access to the Internet could be strongly defended as a human right.",ARG,161,Internetaccess,mediated,attack,contradiction,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",13,Internet access is necessary for right to self expression. Internet access in a time of democratized online publishing may be understood as a contemporary form of the right to self-expression.,ARG,162,Internetaccess,mediated,attack,contradiction,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",2,"Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.",ARG,163,Internetaccess,mediated,attack,contradiction,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",5,"Internet access is essential to other human rights. United Nations' Universal Declaration of Human Rights includes the right to education and the right to work, which may hinge on Internet access. And, indeed, The European Parliament has ruled that it sees internet access as 'critical for the practical exercise of a wide array of fundamental rights.",ARG,164,Internetaccess,mediated,attack,contradiction,,,
7,"Internet access is not really essential. It is much easier than people think to live without the Internet. People were able to lead happy succesful lives in the past without the Internet, and they are able to do so now as well. While there are certainly luxuries surrounding the use of the Internet, it is excessive to deem it as essential to human life and happiness. It is excessive there to deem it as a fundamental human right on these grounds.",11,"The internet is a right. It's in their enlightened self-interest. And I will suggest that the WEF Global Agenda Council should catalogue, quantify, and demonstrate that self-interest in terms of the benefit the internet brings a nation in: 1. business – jobs created, efficiencies found, innovation sparked, entrepreneurism supported; 2. education – every human able to search all our digital knowledge, distributed university curricula, the growth of the aggregated education, the pull toward literacy; 3. politics – the ability of citizens to coalesce and act, the increase in involvement in politics, the greater transparency enabled (which some politicians will not think is in their self-interest – but that is precisely why we will want this creed to separate democrats from dictators and the corrupt); 4. government – we have only begun to use connectivity to improve governance in its relationships with constituents and in efficiencies; 4. society – I argue in my book that staying connected may change the nature of relationships for the good – one-to-one and nation-to-nation.",ARG,165,Internetaccess,mediated,attack,contradiction,,,
